Date,close,Volume,Open,High,Low
11/19/2021,4697.96,--,4708.44,4717.75,4694.22
11/18/2021,4704.54,--,4700.72,4708.8,4672.78
11/17/2021,4688.67,--,4701.5,4701.5,4684.41
11/16/2021,4700.9,--,4679.42,4714.95,4679.42
11/15/2021,4682.8,--,4689.3,4697.42,4672.86
11/12/2021,4682.85,--,4655.24,4688.47,4650.77
11/11/2021,4649.27,--,4659.39,4664.55,4648.31
11/10/2021,4646.71,--,4670.26,4684.85,4630.86
11/9/2021,4685.25,--,4707.25,4708.53,4670.87
11/8/2021,4701.7,--,4701.48,4714.92,4694.39
11/5/2021,4697.53,--,4699.26,4718.5,4681.32
11/4/2021,4680.06,--,4662.93,4683,4662.59
11/3/2021,4660.57,--,4630.65,4663.46,4621.19
11/2/2021,4630.65,--,4613.34,4635.15,4613.34
11/1/2021,4613.67,--,4610.62,4620.34,4595.06
10/29/2021,4605.38,--,4572.87,4608.08,4567.59
10/28/2021,4596.42,--,4562.84,4597.55,4562.84
10/27/2021,4551.68,--,4580.22,4584.57,4551.66
10/26/2021,4574.79,--,4578.69,4598.53,4569.17
10/25/2021,4566.48,--,4553.69,4572.62,4537.36
10/22/2021,4544.9,--,4546.12,4559.67,4524
10/21/2021,4549.78,--,4532.24,4551.44,4526.89
10/20/2021,4536.19,--,4524.42,4540.87,4524.4
10/19/2021,4519.63,--,4497.34,4520.4,4496.41
10/18/2021,4486.46,--,4463.72,4488.75,4447.47
10/15/2021,4471.37,--,4447.69,4475.82,4447.69
10/14/2021,4438.26,--,4386.75,4439.73,4386.75
10/13/2021,4363.8,--,4358.01,4372.87,4329.92
10/12/2021,4350.65,--,4368.31,4374.89,4342.09
10/11/2021,4361.19,--,4385.44,4415.88,4360.59
10/8/2021,4391.34,--,4406.51,4412.02,4386.22
10/7/2021,4399.76,--,4383.73,4429.97,4383.73
10/6/2021,4363.55,--,4319.57,4365.57,4290.49
10/5/2021,4345.72,--,4309.87,4369.23,4309.87
10/4/2021,4300.46,--,4348.84,4355.51,4278.94
10/1/2021,4357.04,--,4317.16,4375.19,4288.52
9/30/2021,4307.54,--,4370.67,4382.55,4306.24
9/29/2021,4359.46,--,4362.41,4385.57,4355.08
9/28/2021,4352.63,--,4419.54,4419.54,4346.33
9/27/2021,4443.11,--,4442.12,4457.3,4436.19
9/24/2021,4455.48,--,4438.04,4463.12,4430.27
9/23/2021,4448.98,--,4406.75,4465.4,4406.75
9/22/2021,4395.64,--,4367.43,4416.75,4367.43
9/21/2021,4354.19,--,4374.45,4394.87,4347.96
9/20/2021,4357.73,--,4402.95,4402.95,4305.91
9/17/2021,4432.99,--,4469.74,4471.52,4427.76
9/16/2021,4473.75,--,4477.09,4485.87,4443.8
9/15/2021,4480.7,--,4447.49,4486.87,4438.37
9/14/2021,4443.05,--,4479.33,4485.68,4435.46
9/13/2021,4468.73,--,4474.81,4492.99,4445.7
9/10/2021,4458.58,--,4506.92,4520.47,4457.66
9/9/2021,4493.28,--,4513.02,4529.9,4492.07
9/8/2021,4514.07,--,4518.09,4521.79,4493.95
9/7/2021,4520.03,--,4535.38,4535.38,4513
9/3/2021,4535.43,--,4532.42,4541.45,4521.3
9/2/2021,4536.95,--,4534.48,4545.85,4524.66
9/1/2021,4524.09,--,4528.8,4537.11,4522.02
8/31/2021,4522.68,--,4529.75,4531.39,4515.8
8/30/2021,4528.79,--,4513.76,4537.36,4513.76
8/27/2021,4509.37,--,4474.1,4513.33,4474.1
8/26/2021,4470,--,4493.75,4495.9,4468.99
8/25/2021,4496.19,--,4490.45,4501.71,4485.66
8/24/2021,4486.23,--,4484.4,4492.81,4482.28
8/23/2021,4479.53,--,4450.29,4489.88,4450.29
8/20/2021,4441.67,--,4410.56,4444.35,4406.8
8/19/2021,4405.8,--,4382.44,4418.61,4367.73
8/18/2021,4400.27,--,4440.94,4454.32,4397.59
8/17/2021,4448.08,--,4462.12,4462.12,4417.83
8/16/2021,4479.71,--,4461.65,4480.26,4437.66
8/13/2021,4468,--,4464.84,4468.37,4460.82
8/12/2021,4460.83,--,4446.08,4461.77,4435.96
8/11/2021,4447.7,--,4442.18,4449.44,4436.42
8/10/2021,4436.75,--,4435.79,4445.21,4430.03
8/9/2021,4432.35,--,4437.77,4439.39,4424.74
8/6/2021,4436.52,--,4429.07,4440.82,4429.07
8/5/2021,4429.1,--,4408.86,4429.76,4408.86
8/4/2021,4402.66,--,4415.95,4416.17,4400.23
8/3/2021,4423.15,--,4392.74,4423.79,4373
8/2/2021,4387.16,--,4406.86,4422.18,4384.81
7/30/2021,4395.26,--,4395.12,4412.25,4389.65
7/29/2021,4419.15,--,4403.59,4429.97,4403.59
7/28/2021,4400.64,--,4402.95,4415.47,4387.01
7/27/2021,4401.46,--,4416.38,4416.38,4372.51
7/26/2021,4422.3,--,4409.58,4422.73,4405.45
7/23/2021,4411.79,--,4381.2,4415.18,4381.2
7/22/2021,4367.48,--,4361.27,4369.87,4350.06
7/21/2021,4358.69,--,4331.13,4359.7,4331.13
7/20/2021,4323.06,--,4265.11,4336.84,4262.05
7/19/2021,4258.49,--,4296.4,4296.4,4233.13
7/16/2021,4327.16,--,4367.43,4375.09,4322.53
7/15/2021,4360.03,--,4369.02,4369.02,4340.7
7/14/2021,4374.3,--,4380.11,4393.68,4362.36
7/13/2021,4369.21,--,4381.07,4392.37,4366.92
7/12/2021,4384.63,--,4372.41,4386.68,4364.03
7/9/2021,4369.55,--,4329.38,4371.6,4329.38
7/8/2021,4320.82,--,4321.07,4330.88,4289.37
7/7/2021,4358.13,--,4351.01,4361.88,4329.79
7/6/2021,4343.54,--,4356.46,4356.46,4314.37
7/2/2021,4352.34,--,4326.6,4355.43,4326.6
7/1/2021,4319.94,--,4300.73,4320.66,4300.73
6/30/2021,4297.5,--,4290.65,4302.43,4287.96
6/29/2021,4291.8,--,4293.21,4300.52,4287.04
6/28/2021,4290.61,--,4284.9,4292.14,4274.67
6/25/2021,4280.7,--,4274.45,4286.12,4271.16
6/24/2021,4266.49,--,4256.97,4271.28,4256.97
6/23/2021,4241.84,--,4249.27,4256.6,4241.43
6/22/2021,4246.44,--,4224.61,4255.84,4217.27
6/21/2021,4224.79,--,4173.4,4226.24,4173.4
6/18/2021,4166.45,--,4204.78,4204.78,4164.4
6/17/2021,4221.86,--,4220.37,4232.29,4196.05
6/16/2021,4223.7,--,4248.87,4251.89,4202.45
6/15/2021,4246.59,--,4255.28,4257.16,4238.35
6/14/2021,4255.15,--,4248.31,4255.59,4234.07
